None,0,0,426264,426224
AccumTypes,1,1,427516,427476
Accumulator,2,2,436700,436660
Action,3,3,509556,509516
Acttypes,4,4,568156,568116
Animate,5,5,577884,577844
AsciiMnu,6,6,2231744,2231704
AudioMd,7,7,2420424,2420384
AutoSend,8,8,2425672,2425632
Intervaltype,9,9,2429604,2429564
DayIncrt,10,10,2435972,2435932
LogTypes,11,11,2442340,2442300
LogFiles,12,12,2448708,2448668
LogLevel,13,13,2467992,2467952
ProcType,14,14,2483320,2483280
FuncTble,15,15,2490224,2490184
Connect,16,16,2523024,2522984
Protocol,17,17,2533936,2533896
Machine,18,18,2547248,2547208
Batches,19,19,2844516,2844476
BeaconMenu,20,0,2891648,2891608
BeaconInfo,21,20,2894548,2894508
BeaconPattern,22,21,3089136,3089096
BeaconTrigger,23,22,3108104,3108064
BuildBoss,24,23,3489564,3489524
BuildCfg,25,24,3535084,3535044
BuildFmt,26,25,3591860,3591820
BuildParseSub,27,0,3629892,3629852
BuildTest,28,26,3633204,3633164
CState,29,27,3651472,3651432
CTRLDT,30,28,3656476,3656436
ChainOiler,31,29,3670512,3670472
ChartMenu,32,30,3683844,3683804
ChartType,33,31,3707340,3707300
CircMenu,34,32,3713708,3713668
Colors,35,33,3724364,3724324
ColorsGUI,36,34,3790632,3790592
Colorset,37,35,3853852,3853812
ColumnScheme,38,36,3864188,3864148
CombBoss,39,37,3895292,3895252
CombLane,40,38,3905412,3905372
Combos,41,39,3927060,3927020
Configio,42,40,3950740,3950700
Confirm,43,0,4065428,4065388
Convclr,44,41,4067504,4067464
Conveyor,45,42,4077840,4077800
Convpath,46,43,16416420,16416380
Counters,47,44,16452284,16452244
DataSets,48,45,16467772,16467732
DataUtil,49,0,16477356,16477316
Dayweek,50,46,16479020,16478980
DbHistConfig,51,47,16484716,16484676
DbHistData,52,48,17457232,17457192
EmEventTypes,53,49,17490696,17490656
EStop,54,50,17528424,17528384
Encoders,55,51,17591544,17591504
EnergyMenu,56,0,17614796,17614756
EnergyTrigger,57,52,17617696,17617656
EnergyZone,58,53,17649600,17649560
Error_Log,59,54,17670748,17670708
ErrorAnalysis,60,55,17693632,17693592
ErrorCustom1,61,56,17714096,17714056
ErrorCustom2,62,57,17736660,17736620
ErrorStatus,63,58,17759224,17759184
ErrorStatusLog,64,59,19761772,19761732
Errors,65,60,22256012,22255972
Errsever,66,61,23051944,23051904
Errsugt,67,62,23063460,23063420
wcsSeverity,68,63,23089988,23089948
wcsAlarm,69,64,23096356,23096316
EventLog,70,65,23104964,23104924
EventTypes,71,66,23129156,23129116
FAILSAFE,72,67,23138340,23138300
FORTNADT,73,68,23143880,23143840
FastIO,74,69,23336892,23336852
Fcommand,75,70,23346476,23346436
Formats,76,71,23357964,23357924
Fulljam,77,72,23364332,23364292
Fullline,78,73,23436980,23436940
GUIDT,79,74,23541324,23541284
GapCfg,80,75,23555360,23555320
Gobackm,81,76,23569728,23569688
GpxBelt,82,77,23574868,23574828
GraphMenu,83,78,23595764,23595724
Groups,84,79,23605524,23605484
HSPusher,85,80,23660780,23660740
HistBoss,86,81,23674120,23674080
HistConfig,87,82,23683232,23683192
HistData,88,83,23978800,23978760
HistNumDays,89,84,25201808,25201768
HistType,90,85,25208176,25208136
Hlpmenu,91,86,25214544,25214504
HouseKeep,92,87,25285872,25285832
interfac,93,88,25394008,25393968
IOCard,94,89,25403064,25403024
IOCardModConfig,95,90,25521520,25521480
IOCardResp,96,91,25547192,25547152
IOCardStatus,97,92,25564440,25564400
IORangeColor,98,93,25650232,25650192
IOSearch,99,94,25660568,25660528
Inducts,100,95,25670904,25670864
Inpoints,101,96,25685772,25685732
Jamcheck,102,97,25710172,25710132
Jamzones,103,98,25894584,25894544
KTX_CONTROL,104,99,25931864,25931824
KTX_FLAGS,105,100,25941616,25941576
KTX_Machine,106,101,25951940,25951900
KTX_OUTPORT,107,102,25961700,25961660
KTX_RAM,108,103,25966000,25965960
KTX_RIO_ADAPTERS,109,104,25985540,25985500
KTX_RIO_SCANLIST,110,105,26062992,26062952
KTX_RIO_STATUS,111,106,26082208,26082168
KTX_TNS,112,107,26088500,26088460
KTX_TYPES,113,108,26104728,26104688
KeyDefine,114,109,26111096,26111056
KeyStrokes,115,110,26165208,26165168
KeyTypes,116,111,26171332,26171292
LaneType,117,112,26177700,26177660
Layerset,118,113,26184068,26184028
Layerson,119,114,26192676,26192636
LiftGatesCtrl,120,115,26206600,26206560
LineType,121,116,26226800,26226760
LogCtrl,122,117,26233168,26233128
